Participant ID,Physical Activity,Fruits/Veg Servings,Sleep Quality,Stress Level,Overall Health,Diet Type,Exercise Type Preferred,Work Environment,Living Area
1,4.37,8.65,9,9,2,Pescatarian,Strength Training,Mixed,Suburban
2,9.56,2.77,2,3,9,Meat-Eater,Sports,Mixed,Suburban
3,7.59,2.13,5,4,8,Vegetarian,Sports,Mixed,Rural
4,6.39,9.67,9,5,5,Pescatarian,Strength Training,Remote,Suburban
5,2.4,1.97,2,10,1,Pescatarian,None,Fieldwork,Suburban
6,2.4,5.31,10,6,2,Vegetarian,None,Student,Suburban
7,1.52,6.27,9,7,2,Vegan,None,Remote,Rural
8,8.8,5.87,8,4,10,Meat-Eater,Sports,Remote,Urban
9,6.41,1.77,5,5,3,Flexitarian,Strength Training,Fieldwork,Suburban
10,7.37,1.51,5,2,7,Meat-Eater,Sports,Student,Urban
11,1.19,1.95,2,7,4,Vegan,None,Mixed,Urban
12,9.73,6.27,8,1,10,Flexitarian,Strength Training,Fieldwork,Rural
13,8.49,5.9,10,2,10,Meat-Eater,Sports,Mixed,Suburban
14,2.91,3.1,3,7,3,Pescatarian,None,Remote,Suburban
15,2.64,6.74,5,8,4,Vegetarian,None,Mixed,Suburban
16,2.65,8.38,8,6,4,Meat-Eater,None,Student,Suburban
17,3.74,1.37,3,6,3,Pescatarian,Sports,Fieldwork,Urban
18,5.72,5.48,8,4,6,Flexitarian,Strength Training,Mixed,Suburban
19,4.89,7.2,7,7,4,Vegan,Cardio,Fieldwork,Suburban
20,3.62,3.27,3,9,1,Flexitarian,Strength Training,Fieldwork,Suburban
21,6.51,3.77,4,5,1,Meat-Eater,Yoga/Pilates,Fieldwork,Suburban
22,2.26,6.52,6,7,5,Meat-Eater,None,Office,Suburban
23,3.63,9.08,8,10,5,Meat-Eater,Cardio,Fieldwork,Rural
24,4.3,8.29,8,8,2,Meat-Eater,Sports,Student,Suburban
25,5.1,6.25,7,2,10,Meat-Eater,Sports,Office,Urban
26,8.07,7.57,5,4,9,Vegan,Strength Training,Mixed,Urban
27,2.8,4.28,3,9,4,Pescatarian,None,Mixed,Urban
28,5.63,6.77,9,2,6,Meat-Eater,Yoga/Pilates,Remote,Suburban
29,6.33,5.2,8,4,9,Flexitarian,Sports,Student,Urban
30,1.42,2.71,4,7,5,Meat-Eater,None,Student,Urban
31,6.47,7.32,6,1,10,Pescatarian,Strength Training,Office,Urban
32,2.53,6.01,10,9,5,Meat-Eater,None,Mixed,Urban
33,1.59,4.23,3,7,3,Vegetarian,None,Remote,Rural
34,9.54,9.2,6,2,9,Meat-Eater,Sports,Mixed,Suburban
35,9.69,1.19,4,4,7,Meat-Eater,Sports,Fieldwork,Suburban
36,8.28,3.84,3,1,9,Flexitarian,Sports,Mixed,Urban
37,3.74,1.51,3,9,4,Vegan,None,Office,Urban
38,1.88,7.9,9,7,3,Pescatarian,None,Office,Rural
39,7.16,7.32,9,1,9,Vegan,Cardio,Office,Urban
40,4.96,3.98,1,10,1,Vegan,Cardio,Office,Rural
41,2.1,7.08,9,8,5,Vegetarian,None,Student,Urban
42,5.46,4.56,3,4,10,Pescatarian,Yoga/Pilates,Remote,Urban
43,1.31,7.81,9,7,3,Flexitarian,None,Remote,Rural
44,9.18,5.09,5,1,10,Pescatarian,Cardio,Fieldwork,Suburban
45,3.33,4.71,4,6,1,Vegetarian,Cardio,Fieldwork,Suburban
46,6.96,9.41,10,5,3,Flexitarian,Yoga/Pilates,Office,Suburban
47,3.81,3.26,5,9,2,Vegan,Sports,Remote,Rural
48,5.68,2.08,3,1,10,Flexitarian,Yoga/Pilates,Fieldwork,Rural
49,5.92,6.26,8,5,4,Vegetarian,Yoga/Pilates,Remote,Rural
50,2.66,9.72,7,7,1,Vegan,None,Remote,Urban
51,9.73,4.4,4,5,1,Pescatarian,Strength Training,Fieldwork,Urban
52,7.98,1.56,3,4,10,Pescatarian,Cardio,Remote,Urban
53,9.46,4.05,5,5,2,Flexitarian,Sports,Mixed,Suburban
54,9.05,5.55,9,1,9,Vegetarian,Sports,Mixed,Urban
55,6.38,2.46,1,1,7,Flexitarian,Yoga/Pilates,Fieldwork,Suburban
56,9.3,6.92,8,3,7,Meat-Eater,Sports,Fieldwork,Urban
57,1.8,9.98,5,10,5,Flexitarian,None,Mixed,Rural
58,2.76,5.07,6,7,4,Vegetarian,None,Student,Rural
59,1.41,4.19,5,9,5,Meat-Eater,None,Fieldwork,Rural
60,3.93,4.61,4,8,5,Vegan,Yoga/Pilates,Fieldwork,Rural
61,4.5,2.04,1,10,1,Flexitarian,Yoga/Pilates,Office,Urban
62,3.44,8.95,10,7,5,Meat-Eater,Yoga/Pilates,Office,Suburban
63,8.46,4.73,1,3,8,Vegan,Sports,Mixed,Rural
64,4.21,4.49,2,6,4,Vegetarian,None,Remote,Urban
65,3.53,6.94,5,9,1,Meat-Eater,Strength Training,Remote,Urban
66,5.88,4.98,3,5,4,Pescatarian,Cardio,Office,Rural
67,2.27,6.83,9,7,1,Flexitarian,None,Student,Rural
68,8.22,1.55,1,1,8,Vegan,Cardio,Office,Suburban
69,1.67,8.32,5,8,5,Pescatarian,None,Student,Rural
70,9.88,9.46,6,4,6,Vegan,Sports,Student,Rural
71,7.95,6.84,7,3,6,Vegan,Strength Training,Mixed,Urban
72,2.79,9.59,5,8,1,Meat-Eater,None,Student,Suburban
73,1.05,2.36,5,7,3,Pescatarian,None,Mixed,Rural
74,8.34,5.3,9,1,9,Flexitarian,Sports,Office,Suburban
